Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR33750950_bin.4	87.01	2.3	Neural Network (Specific Model)	11	0.74	6987	200.29756944444443	2330476	0.38	2880	394	36907	None
SRR33750950_bin.5	54.31	3.33	Gradient Boost (General Model)	11	0.902	3459	253.46558391337973	1087685	0.62	1293	311	8046	None
SRR33750950_bin.6	10.09	0.01	Neural Network (Specific Model)	11	0.915	3041	231.87406015037595	403137	0.69	532	128	6049	None
SRR33750950_bin.7	6.52	0.0	Neural Network (Specific Model)	11	0.924	2857	253.73482428115017	256874	0.7	313	88	4357	None
SRR33750950_bin.8	58.75	2.64	Gradient Boost (General Model)	11	0.933	4052	257.11858316221765	1607003	0.7	1948	403	12710	None
SRR33750951_bin.1	63.33	13.5	Gradient Boost (General Model)	11	0.89	3297	246.84221364221364	3223422	0.6	3885	953	9386	None
SRR33750951_bin.2	92.29	23.85	Neural Network (Specific Model)	11	0.778	7247	209.58800113733295	2831982	0.41	3517	453	33517	None
SRR33750951_bin.3	23.62	1.95	Neural Network (Specific Model)	11	0.898	3154	257.6072874493927	1484633	0.67	1729	458	7827	None
SRR33750951_bin.4	81.5	3.74	Gradient Boost (General Model)	11	0.942	9025	267.91268817204303	1975789	0.69	2325	264	49512	None
SRR33750951_bin.5	12.85	0.01	Neural Network (Specific Model)	11	0.881	3014	248.92215013901762	912467	0.71	1079	294	5786	None
SRR33750951_bin.6	24.53	2.85	Neural Network (Specific Model)	11	0.877	3198	239.73925925925926	1104505	0.62	1350	328	9179	None
SRR33750951_bin.7	70.76	26.37	Gradient Boost (General Model)	11	0.925	3485	243.89266117969822	4599324	0.7	5832	1292	11597	None
SRR33750951_bin.8	69.03	7.92	Gradient Boost (General Model)	11	0.884	4122	257.14150496923804	3679899	0.64	4226	895	14564	None
SRR33750951_bin.9	34.98	0.41	Neural Network (Specific Model)	11	0.733	4244	183.10907903331156	1143844	0.37	1531	269	13918	None
SRR33750952_bin.1	7.37	0.09	Neural Network (Specific Model)	11	0.731	4645	182.05742574257425	375826	0.39	505	80	12065	None
SRR33750952_bin.10	34.44	2.76	Neural Network (Specific Model)	11	0.728	19198	189.6667870036101	2156048	0.4	2770	159	68231	None
SRR33750952_bin.2	9.0	0.0	Neural Network (Specific Model)	11	0.888	2973	250.15902140672782	551678	0.71	654	179	5665	None
SRR33750952_bin.3	35.38	1.51	Neural Network (Specific Model)	11	0.909	4111	259.28161365399535	1100014	0.56	1289	274	11602	None
SRR33750952_bin.4	100.0	93.98	Gradient Boost (General Model)	11	0.91	4650	259.8037523613258	19892439	0.69	23292	4361	38144	None
SRR33750952_bin.5	75.49	0.35	Neural Network (Specific Model)	11	0.826	67857	245.12839059674502	980764	0.43	1106	21	107780	None
SRR33750952_bin.6	5.41	0.0	Neural Network (Specific Model)	11	0.88	3284	252.32442748091603	224906	0.64	262	67	7465	None
SRR33750952_bin.7	47.54	1.94	Gradient Boost (General Model)	11	0.945	4785	260.70275791624107	1615196	0.69	1958	347	26509	None
SRR33750952_bin.8	38.43	3.61	Neural Network (Specific Model)	11	0.871	3666	246.73545384018618	1093264	0.62	1289	294	10926	None
SRR33750952_bin.9	87.42	39.78	Gradient Boost (General Model)	11	0.887	3517	252.89869321717487	6860098	0.63	8035	1887	17387	None
SRR33750956_bin.1	8.87	0.01	Neural Network (Specific Model)	11	0.871	3156	243.56503198294243	392577	0.59	469	120	7316	None
SRR33750956_bin.2	5.76	0.0	Neural Network (Specific Model)	11	0.892	2967	258.439205955335	349733	0.71	403	114	5669	None
SRR33750956_bin.3	87.87	72.75	Gradient Boost (General Model)	11	0.893	3452	257.46684266103483	8177417	0.63	9470	2301	13154	None
SRR33750956_bin.4	32.04	7.74	Neural Network (Specific Model)	11	0.931	3119	247.15470852017938	1417540	0.7	1784	443	7150	None
SRR33750956_bin.5	85.78	3.32	Gradient Boost (General Model)	11	0.939	8588	269.3786324786325	2004552	0.69	2340	274	36316	None
SRR33750956_bin.6	15.3	0.02	Neural Network (Specific Model)	11	0.918	3092	271.800464037123	381646	0.7	431	122	5048	None
SRR33750956_bin.7	85.02	22.53	Neural Network (Specific Model)	11	0.786	4378	213.25664621676893	2380944	0.37	2934	541	18865	None
SRR33750956_bin.8	21.0	0.03	Neural Network (Specific Model)	11	0.876	3430	271.641541038526	1109321	0.6	1194	321	6691	None
SRR33750957_bin.1	19.64	0.0	Neural Network (Specific Model)	11	0.882	3335	261.31524926686217	604936	0.58	682	180	6235	None
SRR33750957_bin.2	33.61	2.84	Neural Network (Specific Model)	11	0.932	3446	255.69508448540708	1068827	0.7	1302	304	9089	None
SRR33750957_bin.3	70.98	11.47	Gradient Boost (General Model)	11	0.889	3670	258.4956346541303	3887916	0.64	4467	1032	16183	None
SRR33750957_bin.4	92.04	4.5	Neural Network (Specific Model)	11	0.761	13851	201.2722378877211	3084849	0.41	3901	308	68629	None
SRR33750957_bin.5	34.54	2.99	Neural Network (Specific Model)	11	0.899	3375	252.79713701431493	2057371	0.68	2445	590	9102	None
SRR33750957_bin.6	45.93	3.25	Gradient Boost (General Model)	11	0.93	3569	260.97661870503595	1867493	0.71	2224	521	9763	None
SRR33750957_bin.7	85.39	20.67	Gradient Boost (General Model)	11	0.928	3813	251.59944692618592	3809396	0.69	4701	973	17733	None
SRR33750957_bin.8	46.99	0.06	Neural Network (Specific Model)	11	0.894	4089	258.68027602070157	1504487	0.56	1739	361	17425	None
SRR33750957_bin.9	67.32	0.61	Gradient Boost (General Model)	11	0.878	5043	291.82681744749596	3081117	0.53	3095	640	21505	None
SRR33750958_bin.1	72.96	3.14	Gradient Boost (General Model)	11	0.939	4764	250.76426360017692	1804694	0.69	2261	389	16558	None
SRR33750958_bin.2	11.45	0.0	Neural Network (Specific Model)	11	0.782	3366	201.50113378684807	340294	0.37	441	102	6547	None
SRR33750958_bin.3	56.22	15.23	Gradient Boost (General Model)	11	0.885	3388	250.1963674651224	3217988	0.64	3799	919	12119	None
SRR33750959_bin.1	57.85	15.81	Gradient Boost (General Model)	11	0.894	3359	259.78007685486256	2945288	0.64	3383	842	10122	None
SRR33750959_bin.2	50.62	1.16	Gradient Boost (General Model)	11	0.941	3522	243.1920260374288	949382	0.7	1229	259	11466	None
SRR33750959_bin.3	53.56	7.19	Neural Network (Specific Model)	11	0.78	3509	203.93969585736758	1491476	0.39	1907	409	10682	None
